a;b;c
-2719.87; -2181.09; -2301.48
-6429.45; -6541.13; -6601.33
2694.00; 2565.94; 2505.74
5422.49; 5012.92; 4832.34
-176.13; -165.04; -186.30
-2218.24; -2911.24; -3127.38
-6665.25; -6960.93; -7068.99
1728.74; 2683.72; 2575.65
4975.15; 5556.75; 5232.55
-317.25; -162.06; -359.94
-2981.74; -3305.18; -3970.26
-7309.51; -6470.37; -6802.91
1183.95; 1793.49; 1460.95
4829.36; 4823.17; 3825.55
-988.68; -741.71; -971.31
-2939.70; -2514.35; -2891.35
-6886.98; -6323.14; -6511.64
2164.87; 2595.66; 2407.16
5781.57; 5338.11; 4772.62
-623.71; -381.90; -521.14
-2055.16; -2569.26; -2355.78
-6485.29; -6232.63; -6125.90
2570.79; 2493.17; 2599.91
5490.20; 5437.00; 5757.21
378.15; 132.11; 299.25
-1918.79; -2066.57; -1885.33
-6137.06; -6862.16; -6771.54
2593.15; 2858.12; 2948.74
6035.39; 5471.15; 5743.01
278.96; 105.30; 180.32
-2627.91; -3448.38; -3965.68
-6767.41; -7133.13; -7391.78
1733.43; 1660.98; 1402.34
5471.13; 5367.31; 4591.37
-826.59; -443.04; -782.95
-2958.41; -2923.19; -3068.39
-6421.58; -6275.02; -6347.62
2753.14; 2504.71; 2432.11
5533.93; 5527.38; 5309.59
-194.40; -59.85; -310.87
-2825.15; -2294.16; -2326.73
-6421.22; -6489.04; -6505.33
2145.08; 1991.97; 1975.68
5605.95; 5462.56; 5413.70
-0.77; -42.05; 38.37
-2533.12; -1894.59; -1546.78
-6342.54; -5890.46; -5716.55
2601.86; 2676.91; 2850.81
5597.22; 6144.69; 6666.41
467.20; 294.44; 443.91
-2980.00; -3056.91; -3244.35
-6262.93; -6884.02; -6977.74
2269.28; 2017.21; 1923.49
5702.72; 4897.78; 4616.62
-330.33; -150.41; -209.91
-2664.17; -2439.24; -2720.71
-6791.68; -6706.27; -6847.00
1644.97; 2622.81; 2482.07
5400.36; 4789.20; 4367.00
-336.41; -315.63; -476.89
-1925.23; -1400.55; -414.28
-5910.55; -6496.83; -6003.70
4269.41; 3884.06; 4377.20
5569.43; 6057.34; 7536.74
1399.22; 891.85; 1440.54
-2940.89; -2611.02; -3174.29
